pump1,Accel_Pump_head_90,5,-4.5,7,-6,F,Accel_Pump_head_90 desc
pump1,Accel_Pump_base_90,2,-2.5,3,-4,C,Accel_Pump_base_90 desc
pump1,Accel_Prot_base_90,5,-3.5,7,-10,F,Accel_Prot_base_90 desc
pump1,Discharge_Press,5.2,0.5,10.8,-3.1,F,Discharge_Press desc
pump1,Flow meter,15.3,-3.2,35.4,-10.5,F,Flow meter desc
pump2,X1 Phs Volts Mtr,50,-35,60,-40,V,X1 Phs Volts Mtr desc
pump2,X2_Phs_Volts_Mtr,3.6,-50,10.4,-70,V,X2_Phs_Volts_Mtr desc
pump2,X3_Phs_Volts_Mtr,-5.3,-30.5,-1,-50,V,X3_Phs_Volts_Mtr desc
pump2,X1_Phs_Amps_Mtr,1,-15,5,-30.5,V,X1_Phs_Amps_Mtr desc
pump2,X2_Phase_Amps_Motor,5,-3,10,-12,F,X2_Phase_Amps_Motor desc
pump2,X3_Phase_Amps_Mtr,4,-5,15,-20,F,X3_Phase_Amps_Mtr desc
pump3,Accel_Pump_head_0,15,-10,35,-35,T,Accel_Pump_head_0 desc
pump3,Accel_Pump_base_0,12,-5,20,-15,T,Accel_Pump_base_0 desc
pump3,Accel_Prot_base_0,7,-6,15.7,-6.8,T,Accel_Prot_base_0 desc
